,trajectoryId,lat,lon,alt,arrivaltime,leavetime,algorithm
96,25395,49.89745699933334,10.894638555999999,0.0,2020-10-28 14:31:50,2020-10-28 14:45:00,dist
97,25395,49.89350601888888,10.89171713,0.0,2020-10-28 14:51:12,2020-10-28 15:06:39,dist
98,25395,49.89173566666668,10.887344388333334,0.0,2020-10-28 15:12:56,2020-10-28 15:45:06,dist
99,25395,49.895015311875,10.888451353750002,0.0,2020-10-28 15:52:24,2020-10-28 16:07:55,dist
100,25395,49.892346578947375,10.887307455263159,0.0,2020-10-28 16:14:19,2020-10-28 16:30:09,dist
101,25395,49.891616863529414,10.89128274352941,0.0,2020-10-28 16:34:06,2020-10-28 16:48:40,dist
102,25395,49.892145835,10.8908425,0.0,2020-10-28 16:50:08,2020-10-28 17:02:01,dist
103,25395,49.89214388933333,10.890579888,0.0,2020-10-28 17:03:19,2020-10-28 17:16:42,dist
104,25395,49.89292263916666,10.886826805833332,0.0,2020-10-28 17:20:31,2020-10-28 17:31:55,dist
105,25395,49.895654109999995,10.885109444666666,0.0,2020-10-28 17:41:29,2020-10-28 17:54:58,dist
106,25399,49.89332333,10.89114333,193.9,2020-10-29 11:17:18,2020-10-29 11:27:44,dbscan
107,25399,49.895195,10.88955667,226.0,2020-10-29 11:35:42,2020-10-29 11:47:41,dbscan
108,25399,49.89274833,10.88812167,197.3,2020-10-29 12:01:30,2020-10-29 12:01:30,dbscan
109,25399,49.89292333,10.88704833,197.3,2020-10-29 12:16:05,2020-10-29 12:16:10,dbscan
110,25399,49.895065,10.88465833,197.2,2020-10-29 12:32:31,2020-10-29 12:32:31,dbscan
111,25399,49.89452333,10.88370333,197.3,2020-10-29 12:45:05,2020-10-29 12:45:22,dbscan
112,25399,49.8915,10.88331167,204.4,2020-10-29 12:59:28,2020-10-29 12:59:28,dbscan
113,25399,49.89096,10.88019333,204.6,2020-10-29 13:13:31,2020-10-29 13:13:42,dbscan
114,25399,49.89105167,10.878475,204.6,2020-10-29 13:27:38,2020-10-29 13:27:48,dbscan
115,25399,49.89242667,10.87564333,204.6,2020-10-29 13:43:16,2020-10-29 13:56:31,dbscan
116,25399,49.89339120277778,10.891119259444444,0.0,2020-10-29 11:15:12,2020-10-29 11:27:44,dist
117,25399,49.895133040000005,10.889466077647059,0.0,2020-10-29 11:32:39,2020-10-29 11:47:35,dist
118,25399,49.892733774666674,10.888031002666668,0.0,2020-10-29 12:01:30,2020-10-29 12:15:56,dist
119,25399,49.8929199969231,10.887033202307693,0.0,2020-10-29 12:16:05,2020-10-29 12:30:10,dist
120,25399,49.89504488142858,10.884724759285719,0.0,2020-10-29 12:31:04,2020-10-29 12:44:31,dist
121,25399,49.89452781769229,10.883705381538464,0.0,2020-10-29 12:45:05,2020-10-29 12:58:22,dist
122,25399,49.8915,10.88331167,0.0,2020-10-29 12:59:28,2020-10-29 13:12:28,dist
123,25399,49.89096033333332,10.880207219333332,0.0,2020-10-29 13:13:31,2020-10-29 13:26:42,dist
124,25399,49.891042190625015,10.878514687500001,0.0,2020-10-29 13:27:28,2020-10-29 13:40:48,dist
125,28427,39.94106,35.1277614055556,519.0,2020-11-03 13:11:00,2020-11-03 13:11:00,dbscan
126,28427,39.94106,35.127761405555596,0.0,2020-11-03 13:11:00,2020-11-03 13:34:00,dist
127,28428,48.15588606,11.54049787,519.0,2020-11-03 11:15:00,2020-11-03 12:36:00,dbscan
128,28428,48.15588557260869,11.540498573043477,0.0,2020-11-03 11:15:00,2020-11-03 12:36:00,dist
